quarter,date,stock_price,ttm_net_eps,pe_ratio,book_value_per_share,price_to_book_ratio,stock,year
2006Q4,2006-10-31,23.49,6.99,3.36,8.94,2.63,A,2006
2006Q4,2006-10-31,21.64,1.49,14.52,10.05,2.15,ADI,2006
2006Q4,2006-10-31,36.75,1.13,32.52,4.33,8.49,ADSK,2006
2006Q4,2006-10-31,13.23,0.98,13.5,4.78,2.77,AMAT,2006
2006Q4,2006-10-31,10.87,0.72,15.12,3.03,3.58,BF.B,2006
2006Q4,2006-10-31,7.23,0.28,25.83,2.33,3.11,CPRT,2006
2006Q4,2006-10-31,9.76,0.01,780.4,0.56,17.27,CRM,2006
2006Q4,2006-10-31,17.58,0.95,18.5,4.21,4.17,CSCO,2006
2006Q4,2006-10-31,31.06,3.59,8.66,16.48,1.88,DE,2006
2006Q4,2006-10-31,10.36,0.57,18.08,3.77,2.75,DLTR,2006
2006Q4,2006-10-31,25.4,2.93,8.67,13.58,1.87,HD,2006
2006Q4,2006-10-31,6.71,0.51,13.09,3.28,2.04,HRL,2006
2006Q4,2006-10-31,31.95,1.12,28.52,5.16,6.19,INTU,2006
2006Q4,2006-10-31,8.62,0.7,12.31,3.26,2.64,KR,2006
2006Q4,2006-10-31,23.25,2.03,11.48,9.93,2.34,LOW,2006
2006Q4,2006-10-31,36.01,2.27,15.86,8.93,4.03,MDT,2006
2006Q4,2006-10-31,5.34,0.16,32.55,0.87,6.18,NVDA,2006
2006Q4,2006-10-31,6.35,0.38,16.59,1.54,4.13,ROST,2006
2006Q4,2006-10-31,22.51,0.17,132.41,8.27,2.72,SNPS,2006
2006Q4,2006-10-31,41.44,2.98,13.91,17.23,2.4,TGT,2006
2006Q4,2006-10-31,5.98,0.43,13.99,1.19,5.01,TJX,2006
2006Q4,2006-10-31,35.0,2.62,13.36,14.1,2.48,WMT,2006
2006Q4,2006-11-30,25.57,1.69,15.13,2.12,12.08,ACN,2006
2006Q4,2006-11-30,40.16,0.83,48.39,8.77,4.58,ADBE,2006
2006Q4,2006-11-30,37.54,,0.0,11.62,3.23,BBY,2006
2006Q4,2006-11-30,33.53,2.8,11.98,22.93,1.46,CCL,2006
2006Q4,2006-11-30,37.63,2.37,15.88,19.7,1.91,COST,2006
2006Q4,2006-11-30,33.58,2.05,16.38,13.11,2.56,CTAS,2006
2006Q4,2006-11-30,102.14,6.37,16.03,40.91,2.5,FDX,2006
2006Q4,2006-11-30,17.13,1.56,11.02,8.06,2.13,GIS,2006
2006Q4,2006-11-30,22.28,,0.0,5.38,4.14,GPN,2006
2006Q4,2006-11-30,158.98,,0.0,86.72,1.83,GS,2006
2006Q4,2006-11-30,45.71,3.64,12.56,36.05,1.27,LEN,2006
2006Q4,2006-11-30,48.19,,0.0,,0.0,MS,2006
2006Q4,2006-11-30,14.56,0.72,20.23,10.97,1.33,MU,2006
2006Q4,2006-11-30,10.16,0.66,15.45,3.24,3.13,NKE,2006
2006Q4,2006-11-30,16.14,0.69,23.39,3.0,5.39,ORCL,2006
2006Q4,2006-11-30,23.32,1.32,17.67,4.8,4.86,PAYX,2006
2006Q4,2006-11-30,25.76,1.33,19.37,14.24,1.81,STZ,2006
2006Q4,2006-11-30,28.8,1.81,15.91,10.15,2.84,WBA,2006
2006Q4,2006-12-31,2.6,0.1,26.45,0.47,5.57,AAPL,2006
2006Q4,2006-12-31,17.66,1.22,14.53,10.4,1.7,ABC,2006
2006Q4,2006-12-31,17.96,1.11,16.18,9.14,1.96,ABT,2006
2006Q4,2006-12-31,22.19,1.81,12.26,16.5,1.34,ADM,2006
2006Q4,2006-12-31,26.65,2.87,9.29,10.78,2.47,ADP,2006
2006Q4,2006-12-31,23.35,2.68,8.71,23.73,0.98,AEP,2006
2006Q4,2006-12-31,15.99,1.48,10.84,8.47,1.89,AFL,2006
2006Q4,2006-12-31,968.18,107.2,9.03,781.77,1.24,AIG,2006
2006Q4,2006-12-31,17.65,1.3,13.57,8.78,2.01,AJG,2006
2006Q4,2006-12-31,13.97,-0.55,0.0,1.29,10.84,ALGN,2006
2006Q4,2006-12-31,45.39,7.84,5.79,35.12,1.29,ALL,2006
2006Q4,2006-12-31,20.35,-0.25,0.0,10.58,1.92,AMD,2006
2006Q4,2006-12-31,12.85,1.14,11.27,4.05,3.17,AME,2006
2006Q4,2006-12-31,53.24,2.48,21.47,16.26,3.27,AMGN,2006
2006Q4,2006-12-31,39.54,2.54,15.57,32.83,1.2,AMP,2006
2006Q4,2006-12-31,30.97,0.06,516.13,10.33,3.0,AMT,2006
